iter	Passed	Remaining
590	4605	3187
591	4613	3179
592	4621	3172
593	4629	3164
594	4637	3156
595	4644	3148
596	4652	3140
597	4660	3132
598	4668	3125
599	4676	3117
600	4683	3109
601	4691	3101
602	4699	3094
603	4707	3086
604	4714	3078
605	4722	3070
606	4730	3062
607	4738	3054
608	4745	3047
609	4753	3039
610	4761	3031
611	4769	3023
612	4776	3015
613	4784	3007
614	4792	3000
615	4799	2992
616	4807	2984
617	4815	2976
618	4823	2968
619	4831	2961
620	4839	2953
621	4846	2945
622	4854	2937
623	4862	2929
624	4870	2922
625	4877	2914
626	4885	2906
627	4893	2898
628	4900	2890
629	4908	2882
630	4916	2875
631	4924	2867
632	4932	2859
633	4940	2851
634	4947	2844
635	4955	2836
636	4963	2828
637	4971	2820
638	4979	2812
639	4986	2805
640	4994	2797
641	5002	2789
642	5010	2781
643	5018	2773
644	5025	2766
645	5033	2758
646	5041	2750
647	5048	2742
648	5056	2734
649	5064	2727
650	5072	2719
651	5080	2711
652	5087	2703
653	5095	2695
654	5103	2688
655	5111	2680
656	5118	2672
657	5126	2664
658	5134	2656
659	5142	2648
660	5149	2641
661	5157	2633
662	5165	2625
663	5173	2617
664	5180	2609
665	5188	2602
666	5196	2594
667	5204	2586
668	5212	2578
669	5219	2571
670	5227	2563
671	5235	2555
672	5242	2547
673	5250	2539
674	5258	2531
675	5266	2524
676	5273	2516
677	5281	2508
678	5289	2500
679	5297	2492
680	5304	2484
681	5312	2477
682	5320	2469
683	5328	2461
684	5335	2453
685	5343	2445
686	5351	2438
687	5359	2430
688	5366	2422
689	5374	2414
690	5382	2406
691	5389	2398
692	5397	2391
693	5405	2383
694	5413	2375
695	5421	2367
696	5428	2360
697	5436	2352
698	5444	2344
699	5452	2336
700	5460	2328
701	5468	2321
702	5475	2313
703	5483	2305
704	5491	2297
705	5498	2289
706	5506	2281
707	5513	2274
708	5521	2266
709	5529	2258
710	5537	2250
711	5545	2243
712	5552	2235
713	5560	2227
714	5568	2219
715	5576	2211
716	5584	2204
717	5592	2196
718	5600	2188
719	5607	2180
720	5615	2173
721	5623	2165
722	5630	2157
723	5638	2149
724	5646	2141
725	5654	2133
726	5662	2126
727	5669	2118
728	5677	2110
729	5685	2102
730	5693	2095
731	5701	2087
732	5709	2079
733	5716	2071
734	5724	2063
735	5732	2056
736	5739	2048
737	5747	2040
738	5755	2032
739	5763	2024
740	5771	2017
741	5778	2009
742	5786	2001
743	5794	1993
744	5802	1985
745	5809	1978
746	5817	1970
747	5825	1962
748	5833	1954
749	5841	1947
750	5848	1939
751	5856	1931
752	5864	1923
753	5871	1915
754	5879	1907
755	5887	1900
756	5895	1892
757	5902	1884
758	5910	1876
759	5918	1868
760	5926	1861
761	5933	1853
762	5941	1845
763	5949	1837
764	5957	1830
765	5965	1822
766	5973	1814
767	5980	1806
768	5988	1798
769	5996	1791
770	6004	1783
771	6012	1775
772	6019	1767
773	6027	1760
774	6035	1752
775	6043	1744
776	6051	1736
777	6058	1728
778	6066	1721
779	6074	1713
780	6081	1705
781	6089	1697
782	6097	1689
783	6105	1682
784	6113	1674
785	6120	1666
786	6128	1658
787	6136	1650
788	6144	1643
789	6151	1635
790	6159	1627
791	6167	1619
792	6175	1611
793	6183	1604
794	6190	1596
795	6198	1588
796	6206	1580
797	6213	1572
798	6221	1565
799	6228	1557
800	6236	1549
801	6244	1541
802	6252	1533
803	6260	1526
804	6268	1518
805	6275	1510
806	6283	1502
807	6291	1494
808	6298	1487
809	6306	1479
810	6313	1471
811	6321	1463
812	6329	1455
813	6336	1447
814	6343	1440
815	6351	1432
816	6359	1424
817	6366	1416
818	6374	1408
819	6382	1400
820	6389	1393
821	6397	1385
822	6405	1377
823	6413	1369
824	6420	1361
825	6428	1354
826	6435	1346
827	6443	1338
828	6450	1330
829	6458	1322
830	6466	1315
831	6473	1307
832	6481	1299
833	6488	1291
834	6496	1283
835	6504	1275
836	6511	1268
837	6519	1260
838	6526	1252
839	6534	1244
840	6542	1236
841	6550	1229
842	6557	1221
843	6565	1213
844	6573	1205
845	6581	1198
846	6588	1190
847	6596	1182
848	6604	1174
849	6612	1166
850	6619	1159
851	6627	1151
852	6635	1143
853	6643	1135
854	6650	1127
855	6658	1120
856	6666	1112
857	6673	1104
858	6681	1096
859	6689	1088
860	6697	1081
861	6704	1073
862	6712	1065
863	6720	1057
864	6728	1050
865	6735	1042
866	6743	1034
867	6751	1026
868	6758	1018
869	6766	1011
870	6774	1003
871	6781	995
872	6789	987
873	6797	979
874	6805	972
875	6812	964
876	6820	956
877	6828	948
878	6835	941
879	6843	933
880	6851	925
881	6859	917
882	6866	909
883	6874	902
884	6882	894
885	6890	886
886	6898	878
887	6905	871
888	6913	863
889	6921	855
890	6929	847
891	6936	839
892	6944	832
893	6952	824
894	6959	816
895	6967	808
896	6975	800
897	6983	793
898	6990	785
899	6998	777
900	7006	769
901	7014	762
902	7021	754
903	7029	746
904	7037	738
905	7044	730
906	7052	723
907	7060	715
908	7067	707
909	7075	699
910	7083	692
911	7091	684
912	7099	676
913	7107	668
914	7114	660
915	7122	653
916	7130	645
917	7138	637
918	7145	629
919	7153	622
920	7161	614
921	7169	606
922	7176	598
923	7184	590
924	7191	583
925	7199	575
926	7207	567
927	7214	559
928	7222	551
929	7230	544
930	7238	536
931	7246	528
932	7254	520
933	7262	513
934	7269	505
935	7277	497
936	7285	489
937	7293	482
938	7301	474
939	7309	466
940	7316	458
941	7324	450
942	7332	443
943	7340	435
944	7347	427
945	7355	419
946	7363	412
947	7370	404
948	7378	396
949	7386	388
950	7394	381
951	7402	373
952	7410	365
953	7417	357
954	7425	349
955	7433	342
956	7440	334
957	7448	326
958	7456	318
959	7463	310
960	7471	303
961	7478	295
962	7486	287
963	7494	279
964	7502	272
965	7510	264
966	7517	256
967	7525	248
968	7533	241
969	7540	233
970	7548	225
971	7556	217
972	7563	209
973	7571	202
974	7579	194
975	7587	186
976	7595	178
977	7602	171
978	7610	163
979	7618	155
980	7626	147
981	7634	139
982	7641	132
983	7649	124
984	7657	116
985	7665	108
986	7672	101
987	7680	93
988	7688	85
989	7696	77
990	7703	69
991	7711	62
992	7719	54
993	7727	46
994	7734	38
995	7742	31
996	7750	23
997	7758	15
998	7766	7
999	7773	0
